Gender,Age,City,Profession,Sleep Duration,Dietary Habits,Degree
Male,28,Nashik,Student,'7-8 hours',Unhealthy,BBA
Female,27,Bhopal,Student,'More than 8 hours',Healthy,BBA
Male,22,Pune,Student,'More than 8 hours',Healthy,BSc
Male,27,Kolkata,Student,'5-6 hours',Healthy,BHM
Female,34,Hyderabad,Student,'7-8 hours',Unhealthy,B.Tech
Male,22,Nagpur,Student,'5-6 hours',Moderate,B.Com
Male,23,Lucknow,Student,'More than 8 hours',Unhealthy,M.Com
Male,24,Kalyan,Student,'Less than 5 hours',Healthy,M.Pharm
Male,21,Delhi,Student,'More than 8 hours',Moderate,B.Arch
Male,26,Vasai-Virar,Student,'Less than 5 hours',Unhealthy,BSc
Female,24,Kolkata,Student,'5-6 hours',Moderate,BCA
Male,34,Kolkata,Student,'Less than 5 hours',Moderate,MSc
Female,29,Agra,Student,'Less than 5 hours',Unhealthy,ME
Male,33,Visakhapatnam,Student,'5-6 hours',Unhealthy,MBBS
Male,21,Patna,Student,'5-6 hours',Healthy,BCA
Female,33,Delhi,Student,'Less than 5 hours',Unhealthy,BSc
Male,28,Lucknow,Student,'More than 8 hours',Healthy,MBA
Male,27,Jaipur,Student,'5-6 hours',Unhealthy,MCA
Male,33,Meerut,Student,'Less than 5 hours',Moderate,M.Tech
Female,18,Delhi,Student,'Less than 5 hours',Unhealthy,'Class 12'
Female,20,Kolkata,Student,'Less than 5 hours',Moderate,'Class 12'
Female,19,Mumbai,Student,'Less than 5 hours',Unhealthy,'Class 12'
Male,21,Ahmedabad,'Civil Engineer','5-6 hours',Healthy,MSc
Male,32,Vasai-Virar,Student,'Less than 5 hours',Unhealthy,B.Tech
Male,32,Delhi,Student,'7-8 hours',Moderate,LLB
Male,33,Rajkot,Student,'Less than 5 hours',Healthy,MD
Female,23,Bangalore,Student,'Less than 5 hours',Unhealthy,MCA
Male,24,Kalyan,Student,'Less than 5 hours',Unhealthy,M.Com
Female,20,Srinagar,Student,'More than 8 hours',Unhealthy,'Class 12'
Female,24,Ahmedabad,Student,'Less than 5 hours',Moderate,B.Arch
Male,22,Chennai,Student,'Less than 5 hours',Unhealthy,MCA
Male,26,Nashik,Student,'More than 8 hours',Unhealthy,BCA
Female,18,Vasai-Virar,Student,'More than 8 hours',Unhealthy,'Class 12'
Male,26,Vasai-Virar,Student,'7-8 hours',Unhealthy,MD
Male,33,Lucknow,Student,'More than 8 hours',Unhealthy,MD
Female,19,Visakhapatnam,Student,'5-6 hours',Moderate,'Class 12'
Male,26,Jaipur,Student,'7-8 hours',Healthy,MSc
Female,34,Lucknow,Student,'Less than 5 hours',Moderate,BE
Female,22,Pune,Student,'7-8 hours',Healthy,BCA
Female,28,Surat,Student,'Less than 5 hours',Unhealthy,B.Tech
Male,31,Lucknow,Student,'Less than 5 hours',Unhealthy,LLB
Female,18,Varanasi,Student,'More than 8 hours',Healthy,'Class 12'
Male,32,Thane,Student,'5-6 hours',Unhealthy,M.Tech
Female,19,Jaipur,Student,'More than 8 hours',Unhealthy,'Class 12'
Male,20,Mumbai,Student,'More than 8 hours',Unhealthy,'Class 12'
Male,28,Nagpur,Student,'5-6 hours',Unhealthy,BCA
Male,19,Bhopal,Student,'Less than 5 hours',Healthy,'Class 12'
Male,34,Pune,Student,'More than 8 hours',Moderate,B.Tech
Male,20,Vadodara,Student,'Less than 5 hours',Unhealthy,'Class 12'
Male,18,Surat,Student,'More than 8 hours',Moderate,'Class 12'
Female,29,Patna,Student,'7-8 hours',Moderate,BCA
Male,24,Kolkata,Student,'Less than 5 hours',Moderate,M.Tech
Male,33,Jaipur,Student,'5-6 hours',Healthy,BSc
Male,34,Nashik,Student,'Less than 5 hours',Moderate,B.Tech
Female,29,Agra,Student,'7-8 hours',Moderate,B.Com
Male,27,Lucknow,Student,'5-6 hours',Unhealthy,B.Com
Female,31,Srinagar,Student,'Less than 5 hours',Unhealthy,MD
Male,30,Ludhiana,Student,'Less than 5 hours',Moderate,B.Tech
Female,31,Thane,Student,'Less than 5 hours',Moderate,MA
Male,26,Rajkot,Student,'5-6 hours',Healthy,B.Arch
Male,21,Patna,Student,'Less than 5 hours',Unhealthy,B.Ed
Female,34,Lucknow,Student,'Less than 5 hours',Moderate,B.Ed
Male,24,Mumbai,Student,'More than 8 hours',Moderate,B.Com
Male,21,Varanasi,Student,'5-6 hours',Unhealthy,B.Com
Female,31,Nagpur,Student,'5-6 hours',Unhealthy,B.Tech
Male,20,Lucknow,Student,'More than 8 hours',Unhealthy,'Class 12'
Male,34,Kanpur,Student,'5-6 hours',Moderate,LLM
Female,30,Ludhiana,Student,'Less than 5 hours',Healthy,M.Com
Male,30,Surat,Student,'7-8 hours',Unhealthy,M.Ed
Male,20,Bangalore,Student,'5-6 hours',Healthy,'Class 12'
Female,22,Jaipur,Student,'7-8 hours',Moderate,B.Com
Male,18,Agra,Student,'More than 8 hours',Healthy,'Class 12'
Female,27,Pune,Student,'Less than 5 hours',Healthy,PhD
Male,26,Meerut,Student,'7-8 hours',Moderate,BE
Male,24,Ludhiana,Student,'7-8 hours',Healthy,B.Pharm
Female,28,Vasai-Virar,Student,'5-6 hours',Healthy,BSc
Female,24,Pune,Student,'7-8 hours',Unhealthy,B.Arch
Female,32,Thane,Student,'5-6 hours',Unhealthy,BA
Female,21,Patna,Student,'7-8 hours',Healthy,MBBS
Male,19,Visakhapatnam,Student,'7-8 hours',Moderate,'Class 12'
Female,24,Hyderabad,Student,'7-8 hours',Moderate,M.Ed
Female,26,Ghaziabad,Student,'7-8 hours',Healthy,B.Arch
Female,20,Srinagar,Student,'More than 8 hours',Unhealthy,'Class 12'
Male,19,Kanpur,Student,'Less than 5 hours',Moderate,'Class 12'
Male,32,Hyderabad,Student,'More than 8 hours',Moderate,MBBS
Female,23,Bhopal,Student,'5-6 hours',Moderate,B.Ed
Female,23,Vasai-Virar,Student,'Less than 5 hours',Moderate,M.Tech
Male,29,Vasai-Virar,Student,'7-8 hours',Moderate,MCA
Female,29,Ahmedabad,Student,'7-8 hours',Moderate,B.Ed
Female,27,Srinagar,Student,'7-8 hours',Unhealthy,MA
Female,33,Faridabad,Student,'More than 8 hours',Moderate,'Class 12'
Female,33,Patna,Student,'More than 8 hours',Unhealthy,MSc
Male,31,Faridabad,Student,'Less than 5 hours',Moderate,LLB
Male,25,Nashik,Student,'7-8 hours',Moderate,B.Ed
Female,29,Pune,Student,'Less than 5 hours',Healthy,LLM
Female,18,Thane,Student,'More than 8 hours',Healthy,'Class 12'
Female,18,Vadodara,Student,'7-8 hours',Healthy,'Class 12'
Male,22,Kolkata,Student,'Less than 5 hours',Moderate,MSc
Male,24,Ghaziabad,Student,'5-6 hours',Moderate,BSc
Male,24,Kolkata,Student,'7-8 hours',Unhealthy,B.Ed
Male,30,Bhopal,Student,'7-8 hours',Unhealthy,'Class 12'
Male,33,Srinagar,Student,'5-6 hours',Moderate,PhD
Male,34,Kalyan,Student,'More than 8 hours',Healthy,M.Tech
Male,32,Bhopal,Student,'7-8 hours',Moderate,MCA
Male,33,Kanpur,Student,'7-8 hours',Healthy,MA
Female,20,Pune,Student,'More than 8 hours',Healthy,'Class 12'
Female,25,Agra,Student,'More than 8 hours',Unhealthy,B.Pharm
Male,24,Hyderabad,Student,'7-8 hours',Healthy,B.Tech
Male,23,Agra,Student,'Less than 5 hours',Healthy,B.Com
Female,30,Kolkata,Student,'Less than 5 hours',Moderate,M.Ed
Female,39,Kalyan,Student,'7-8 hours',Moderate,M.Tech
Male,22,Bangalore,Student,'7-8 hours',Unhealthy,BE
Male,23,Patna,Student,'5-6 hours',Unhealthy,B.Com
Male,31,Lucknow,Student,'More than 8 hours',Moderate,M.Tech
Male,20,Mumbai,Student,'Less than 5 hours',Unhealthy,'Class 12'
Male,20,Chennai,Student,'5-6 hours',Unhealthy,'Class 12'
Male,32,Kalyan,Student,'5-6 hours',Unhealthy,BSc
Female,22,Agra,Student,'Less than 5 hours',Unhealthy,BHM
Female,27,Jaipur,Student,'Less than 5 hours',Unhealthy,BSc
Female,18,Ahmedabad,Student,'7-8 hours',Moderate,'Class 12'
Female,28,Faridabad,Student,'7-8 hours',Moderate,B.Com
Female,22,Surat,Student,'Less than 5 hours',Healthy,BCA
Female,20,Chennai,Student,'7-8 hours',Unhealthy,'Class 12'
Male,20,Ludhiana,Student,'More than 8 hours',Unhealthy,'Class 12'
Male,30,Indore,Student,'7-8 hours',Unhealthy,BHM
Male,18,Srinagar,Student,'More than 8 hours',Moderate,'Class 12'
Female,26,Nashik,Student,'7-8 hours',Unhealthy,MBBS
Male,34,Patna,Student,'More than 8 hours',Moderate,B.Ed
Male,20,Lucknow,Student,'7-8 hours',Healthy,'Class 12'
Male,20,Srinagar,Student,'5-6 hours',Unhealthy,'Class 12'
Female,33,Vadodara,Student,'More than 8 hours',Healthy,B.Pharm
Female,20,Hyderabad,Student,'7-8 hours',Unhealthy,'Class 12'
Female,28,Kalyan,Student,'7-8 hours',Moderate,M.Ed
Female,26,Srinagar,Student,'Less than 5 hours',Moderate,MCA
Male,25,Vadodara,Student,'7-8 hours',Moderate,M.Ed
Female,28,Ahmedabad,Student,'7-8 hours',Healthy,MBBS
Female,29,Chennai,Student,'Less than 5 hours',Moderate,BE
Male,34,Lucknow,Student,'Less than 5 hours',Healthy,M.Tech
Female,29,Ghaziabad,Student,'Less than 5 hours',Healthy,M.Com
Female,28,Srinagar,Student,'Less than 5 hours',Moderate,BHM
Female,33,Vadodara,Student,'Less than 5 hours',Moderate,BHM
Male,18,Vasai-Virar,Student,'7-8 hours',Moderate,'Class 12'
Male,19,Ahmedabad,Student,'5-6 hours',Healthy,'Class 12'
Female,27,Kalyan,Student,'More than 8 hours',Unhealthy,BBA
Female,29,Pune,Student,'Less than 5 hours',Healthy,BE
Female,18,Kolkata,Student,'7-8 hours',Unhealthy,'Class 12'
Male,27,Srinagar,Student,'Less than 5 hours',Healthy,LLB
Male,34,Kanpur,Student,'7-8 hours',Moderate,'Class 12'
Female,19,Patna,Student,'7-8 hours',Moderate,'Class 12'
Female,30,Thane,Student,'5-6 hours',Unhealthy,B.Ed
Female,25,Vasai-Virar,Student,'More than 8 hours',Healthy,BHM
Female,20,Ludhiana,Student,'Less than 5 hours',Moderate,'Class 12'
Female,20,Vasai-Virar,Student,'Less than 5 hours',Moderate,'Class 12'
Female,20,Surat,Student,'Less than 5 hours',Unhealthy,'Class 12'
Female,29,Lucknow,Student,'5-6 hours',Unhealthy,BSc
Male,24,Mumbai,Student,'Less than 5 hours',Moderate,B.Pharm
Male,34,Hyderabad,Student,'Less than 5 hours',Unhealthy,M.Pharm
Male,31,Varanasi,Student,'7-8 hours',Moderate,B.Ed
Male,23,Rajkot,Student,'Less than 5 hours',Unhealthy,M.Com
Female,25,Vadodara,Student,'5-6 hours',Unhealthy,BHM
Female,24,Hyderabad,Student,'5-6 hours',Unhealthy,B.Arch
Female,25,Varanasi,Student,'5-6 hours',Moderate,LLB
Male,23,Agra,Student,'5-6 hours',Healthy,B.Arch
Male,21,Nagpur,Student,'7-8 hours',Healthy,MCA
Male,22,Thane,Student,'5-6 hours',Moderate,MBA
Male,33,Bhopal,Student,'More than 8 hours',Moderate,BCA
Male,24,Kalyan,Student,'Less than 5 hours',Unhealthy,MBA
Female,25,Rajkot,Student,'Less than 5 hours',Healthy,BA
Male,33,Agra,Student,'Less than 5 hours',Moderate,LLB
Male,27,Kolkata,Student,'Less than 5 hours',Moderate,BHM
Female,31,Visakhapatnam,Student,'More than 8 hours',Healthy,B.Ed
Female,19,Indore,Student,'More than 8 hours',Healthy,'Class 12'
Male,29,Mumbai,Student,'More than 8 hours',Moderate,B.Ed
Male,23,Kalyan,Student,'7-8 hours',Moderate,MBA
Male,25,Rajkot,Student,'Less than 5 hours',Moderate,MBBS
Male,34,Srinagar,Student,'5-6 hours',Moderate,M.Pharm
Male,18,Ahmedabad,Student,'More than 8 hours',Unhealthy,'Class 12'
Male,29,Hyderabad,Student,'7-8 hours',Healthy,MBA
Female,25,Vasai-Virar,Student,'Less than 5 hours',Healthy,MBBS
Male,29,Srinagar,Student,'5-6 hours',Unhealthy,LLB
Male,28,Meerut,Student,'Less than 5 hours',Healthy,MBBS
Female,31,Faridabad,Student,'5-6 hours',Unhealthy,B.Com
Male,30,Surat,Student,'Less than 5 hours',Unhealthy,M.Com
Male,24,Ghaziabad,Student,'5-6 hours',Healthy,LLM
Male,26,Vadodara,Student,'5-6 hours',Unhealthy,B.Ed
Female,29,Visakhapatnam,Student,'5-6 hours',Moderate,MCA
Male,22,Ludhiana,Student,'7-8 hours',Unhealthy,M.Com
Female,31,Chennai,Student,'5-6 hours',Moderate,M.Ed
Female,29,Ahmedabad,Student,'Less than 5 hours',Moderate,MBA
Female,18,Mumbai,Student,'More than 8 hours',Healthy,'Class 12'
Female,27,Vadodara,Student,'7-8 hours',Unhealthy,M.Ed
Male,32,Indore,Student,'7-8 hours',Moderate,MBBS
Male,30,Delhi,Student,'More than 8 hours',Healthy,MD
Male,26,Agra,Student,'5-6 hours',Healthy,BBA
Male,28,Vadodara,Student,'More than 8 hours',Unhealthy,BE
Male,28,Varanasi,Student,'5-6 hours',Moderate,BHM
Female,25,Vasai-Virar,Student,'7-8 hours',Healthy,BHM
Female,33,Pune,Student,'Less than 5 hours',Healthy,'Class 12'
Male,24,Kolkata,Student,'7-8 hours',Moderate,M.Pharm
Female,22,Varanasi,Student,'More than 8 hours',Healthy,BBA
Male,34,Agra,Student,'More than 8 hours',Moderate,BCA
Male,29,Srinagar,Student,'7-8 hours',Moderate,M.Pharm
Male,32,Nashik,Student,'Less than 5 hours',Moderate,M.Tech
Female,31,Visakhapatnam,Student,'Less than 5 hours',Moderate,'Class 12'
Male,28,Vasai-Virar,Student,'Less than 5 hours',Unhealthy,BCA
Male,30,Varanasi,Student,'5-6 hours',Moderate,B.Com
Female,26,Surat,Student,'Less than 5 hours',Unhealthy,'Class 12'
Male,19,Kolkata,Student,'More than 8 hours',Healthy,'Class 12'
Female,21,Bangalore,Student,'More than 8 hours',Healthy,BSc
Male,22,Thane,Student,'Less than 5 hours',Unhealthy,B.Com
Male,23,Thane,Student,'Less than 5 hours',Moderate,B.Com
Female,25,Varanasi,Student,'Less than 5 hours',Moderate,B.Ed
Female,24,Ghaziabad,Student,'More than 8 hours',Moderate,'Class 12'
Female,18,Kolkata,Student,'7-8 hours',Moderate,'Class 12'
Female,19,Meerut,Student,'Less than 5 hours',Moderate,'Class 12'
Female,30,Lucknow,Student,'7-8 hours',Moderate,BA
Female,35,Meerut,Student,'7-8 hours',Moderate,PhD
Female,20,Chennai,Student,'7-8 hours',Moderate,'Class 12'
Male,20,Lucknow,Student,'7-8 hours',Moderate,'Class 12'
Female,18,Pune,Student,'Less than 5 hours',Healthy,'Class 12'
Female,18,Thane,Student,'More than 8 hours',Healthy,'Class 12'
Female,30,Ghaziabad,Student,'5-6 hours',Moderate,B.Arch
Female,33,Ludhiana,Student,'7-8 hours',Moderate,MBA
Female,29,Vasai-Virar,Student,'5-6 hours',Moderate,B.Arch
Female,28,Srinagar,Student,'Less than 5 hours',Unhealthy,MD
Male,26,Rajkot,Student,'More than 8 hours',Unhealthy,BBA
Male,22,Jaipur,Student,'More than 8 hours',Moderate,BCA
Female,28,Varanasi,Student,'Less than 5 hours',Moderate,BCA
Male,32,Srinagar,Student,'7-8 hours',Unhealthy,ME
Female,31,Surat,Student,'7-8 hours',Healthy,MCA
Male,20,Rajkot,Student,'7-8 hours',Unhealthy,'Class 12'
Female,30,Ghaziabad,Student,'7-8 hours',Unhealthy,MBBS
Male,27,Lucknow,Student,'Less than 5 hours',Unhealthy,B.Ed
Male,26,Ahmedabad,Student,'5-6 hours',Moderate,B.Pharm
Male,34,Vasai-Virar,Student,'More than 8 hours',Healthy,LLM
Female,20,Pune,Student,'5-6 hours',Healthy,'Class 12'
Male,22,Mumbai,Student,'Less than 5 hours',Healthy,MSc
Female,20,Ludhiana,Student,'5-6 hours',Healthy,'Class 12'
Female,27,Delhi,Student,'7-8 hours',Healthy,LLB
Female,25,Rajkot,Student,'Less than 5 hours',Unhealthy,B.Ed
Male,19,Delhi,Student,'5-6 hours',Healthy,'Class 12'
Male,29,Ludhiana,Student,'More than 8 hours',Unhealthy,BSc
Female,18,Bangalore,Student,'7-8 hours',Healthy,'Class 12'
Female,21,Thane,Student,'Less than 5 hours',Healthy,B.Ed
Female,31,Hyderabad,Student,'Less than 5 hours',Unhealthy,MCA
Female,33,Kalyan,Student,'5-6 hours',Moderate,M.Tech
Male,33,Bangalore,Student,'7-8 hours',Moderate,M.Tech
Male,21,Bangalore,Student,'More than 8 hours',Moderate,B.Tech
Female,21,Kalyan,Student,'5-6 hours',Moderate,BBA
Male,23,Ghaziabad,Student,'More than 8 hours',Healthy,MSc
Male,20,Mumbai,Student,'5-6 hours',Unhealthy,'Class 12'
Female,20,Mumbai,Student,'7-8 hours',Unhealthy,'Class 12'
Female,20,Lucknow,Student,'7-8 hours',Moderate,'Class 12'
Male,20,Thane,Student,'More than 8 hours',Unhealthy,'Class 12'
Female,33,Indore,Student,'7-8 hours',Moderate,MHM
Male,29,Visakhapatnam,Student,'Less than 5 hours',Healthy,MSc
Female,21,Bhopal,Student,'5-6 hours',Unhealthy,BCA
Male,28,Ludhiana,Student,'5-6 hours',Moderate,BHM
Female,25,Lucknow,Student,'More than 8 hours',Moderate,MD
Female,22,Bhopal,Student,'5-6 hours',Healthy,MSc
Female,24,Rajkot,Student,'5-6 hours',Moderate,B.Arch
Male,19,Kolkata,Student,'Less than 5 hours',Moderate,'Class 12'
Male,32,Vasai-Virar,Student,'7-8 hours',Unhealthy,ME
Female,25,Vadodara,Student,'5-6 hours',Healthy,B.Com
Female,25,Bhopal,Student,'Less than 5 hours',Unhealthy,B.Com
Male,21,Jaipur,Student,'7-8 hours',Unhealthy,BSc
Female,28,Mumbai,Student,'Less than 5 hours',Moderate,BBA
Male,20,Faridabad,Student,'Less than 5 hours',Moderate,'Class 12'
Male,26,Rajkot,Student,'More than 8 hours',Unhealthy,BA
Female,19,Lucknow,Student,'5-6 hours',Unhealthy,'Class 12'
Male,25,Kanpur,Student,'5-6 hours',Healthy,M.Ed
Female,33,Indore,Student,'7-8 hours',Unhealthy,MHM
Female,20,Ludhiana,Student,'Less than 5 hours',Moderate,'Class 12'
Male,22,Thane,Student,'5-6 hours',Unhealthy,BA
Male,26,Hyderabad,Student,'5-6 hours',Unhealthy,B.Pharm
Female,20,Chennai,Student,'5-6 hours',Healthy,'Class 12'
Male,23,Jaipur,Student,'Less than 5 hours',Unhealthy,M.Tech
Male,33,Jaipur,Student,'5-6 hours',Healthy,BSc
Female,20,Indore,Student,'5-6 hours',Moderate,'Class 12'
Female,29,Vasai-Virar,Student,'7-8 hours',Unhealthy,LLM
Male,33,Mumbai,Student,'More than 8 hours',Moderate,MCA
Male,26,Agra,Student,'More than 8 hours',Healthy,MBBS
Female,27,Surat,Student,'5-6 hours',Healthy,B.Pharm
Female,34,Varanasi,Student,'7-8 hours',Healthy,M.Com
Male,34,Kanpur,Student,'More than 8 hours',Moderate,M.Com
Female,20,Indore,Student,'Less than 5 hours',Moderate,'Class 12'
Male,28,Ahmedabad,Student,'More than 8 hours',Unhealthy,B.Arch
Male,28,Bhopal,Student,'7-8 hours',Unhealthy,MBA
Female,23,Kalyan,Student,'7-8 hours',Unhealthy,MSc
Female,34,Agra,Student,'Less than 5 hours',Moderate,B.Tech
Female,20,Rajkot,Student,'7-8 hours',Healthy,'Class 12'
Female,25,Hyderabad,Student,'5-6 hours',Moderate,B.Arch
Male,26,Bhopal,Student,'5-6 hours',Moderate,LLM
Male,18,Lucknow,Student,'Less than 5 hours',Unhealthy,'Class 12'
Female,24,Thane,Student,'7-8 hours',Healthy,BCA
Male,28,Lucknow,Student,'More than 8 hours',Unhealthy,B.Arch
Male,34,Jaipur,Student,'7-8 hours',Unhealthy,BCA
Male,23,Nashik,Student,'Less than 5 hours',Moderate,B.Ed
Male,27,Bhopal,Student,'5-6 hours',Unhealthy,BSc
Female,19,Agra,Student,'More than 8 hours',Unhealthy,'Class 12'
Male,32,Meerut,Student,'Less than 5 hours',Unhealthy,B.Tech
Female,20,Vadodara,Student,'More than 8 hours',Moderate,'Class 12'
Male,25,Lucknow,Student,'More than 8 hours',Healthy,M.Pharm
Female,24,Kolkata,Student,'Less than 5 hours',Unhealthy,B.Com
Female,22,Patna,Student,'Less than 5 hours',Unhealthy,B.Ed
Male,27,Ludhiana,Student,'More than 8 hours',Healthy,B.Arch
Female,18,Patna,Student,'Less than 5 hours',Moderate,'Class 12'
Male,23,Rajkot,Student,'More than 8 hours',Healthy,M.Ed
Female,29,Kolkata,Student,'7-8 hours',Moderate,BSc
Female,18,Bhopal,Student,'7-8 hours',Unhealthy,'Class 12'
Female,31,Indore,Student,'Less than 5 hours',Moderate,MBBS
Female,33,Meerut,Student,'More than 8 hours',Unhealthy,B.Com
Male,33,Faridabad,Student,'5-6 hours',Moderate,B.Ed
Female,34,Meerut,Student,'Less than 5 hours',Unhealthy,M.Com
Male,28,Srinagar,Student,'7-8 hours',Healthy,B.Pharm
Male,20,Srinagar,Student,'5-6 hours',Moderate,'Class 12'
Male,25,Mumbai,Student,'7-8 hours',Unhealthy,BSc
Female,21,Kolkata,Student,'5-6 hours',Unhealthy,BSc
Female,29,Srinagar,Student,'Less than 5 hours',Healthy,PhD
Female,33,Faridabad,Student,'Less than 5 hours',Healthy,LLM
Female,33,Ludhiana,Student,'7-8 hours',Healthy,B.Ed
Female,21,Vasai-Virar,Student,'5-6 hours',Moderate,B.Arch
